movie_id,movie_title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
8,Tom and Huck (1995),Adventure|Children
13,Balto (1995),Adventure|Animation|Children
27,Now and Then (1995),Children|Drama
34,Babe (1995),Children|Drama
38,It Takes Two (1995),Children|Comedy
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
54,"Big Green, The (1995)",Children|Comedy
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
87,Dunston Checks In (1996),Children|Comedy
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
146,"Amazing Panda Adventure, The (1995)",Adventure|Children
158,Casper (1995),Adventure|Children
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
241,Fluke (1995),Children|Drama
243,Gordy (1995),Children|Comedy|Fantasy
244,Gumby: The Movie (1995),Animation|Children
250,Heavyweights (Heavy Weights) (1995),Children|Comedy
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
262,"Little Princess, A (1995)",Children|Drama
313,"Swan Princess, The (1994)",Animation|Children
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
343,"Baby-Sitters Club, The (1995)",Children
355,"Flintstones, The (1994)",Children|Comedy|Fantasy
362,"Jungle Book, The (1994)",Adventure|Children|Romance
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
374,Richie Rich (1994),Children|Comedy
410,Addams Family Values (1993),Children|Comedy|Fantasy
421,Black Beauty (1994),Adventure|Children|Drama
455,Free Willy (1993),Adventure|Children|Drama
484,Lassie (1994),Adventure|Children
502,"Next Karate Kid, The (1994)",Action|Children|Romance
531,"Secret Garden, The (1993)",Children|Drama
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
575,"Little Rascals, The (1994)",Children|Comedy
577,Andre (1994),Adventure|Children|Drama
586,Home Alone (1990),Children|Comedy
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
596,Pinocchio (1940),Animation|Children|Fantasy|Musical
609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
616,"Aristocats, The (1970)",Animation|Children
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
641,"Little Indian, Big City (Un indien dans la ville) (1994)",Adventure|Children|Comedy
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
711,Flipper (1996),Adventure|Children
745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
754,Gold Diggers: The Secret of Bear Mountain (1995),Adventure|Children
755,Kim (1950),Children|Drama
783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
801,Harriet the Spy (1996),Children|Comedy
808,Alaska (1996),Adventure|Children
810,Kazaam (1996),Children|Comedy|Fantasy
828,"Adventures of Pinocchio, The (1996)",Adventure|Children
837,Matilda (1996),Children|Comedy|Fantasy
840,House Arrest (1996),Children|Comedy
881,First Kid (1996),Children|Comedy
885,Bogus (1996),Children|Drama|Fantasy
917,"Little Princess, The (1939)",Children|Drama
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
986,Fly Away Home (1996),Adventure|Children
1005,D3: The Mighty Ducks (1996),Children|Comedy
1007,"Apple Dumpling Gang, The (1975)",Children|Comedy|Western
1009,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
1010,"Love Bug, The (1969)",Children|Comedy
1011,Herbie Rides Again (1974),Children|Comedy|Fantasy|Romance
1012,Old Yeller (1957),Children|Drama
1013,"Parent Trap, The (1961)",Children|Comedy|Romance
1014,Pollyanna (1960),Children|Comedy|Drama
1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama
1016,"Shaggy Dog, The (1959)",Children|Comedy
1017,Swiss Family Robinson (1960),Adventure|Children
1018,That Darn Cat! (1965),Children|Comedy|Mystery
1021,Angels in the Outfield (1994),Children|Comedy
1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
1024,"Three Caballeros, The (1945)",Animation|Children|Musical
1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1026,So Dear to My Heart (1949),Children|Drama
1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
1029,Dumbo (1941),Animation|Children|Drama|Musical
1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical
1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1033,"Fox and the Hound, The (1981)",Animation|Children|Drama
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1099,"Christmas Carol, A (1938)",Children|Drama|Fantasy
1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
1282,Fantasia (1940),Animation|Children|Fantasy|Musical
1302,Field of Dreams (1989),Children|Drama|Fantasy
1359,Jingle All the Way (1996),Children|Comedy
1367,101 Dalmatians (1996),Adventure|Children|Comedy
1426,Zeus and Roxanne (1997),Children
1460,That Darn Cat (1997),Children|Comedy|Mystery
1474,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children|Comedy
1489,Cats Don't Dance (1997),Animation|Children|Musical
1495,Turbo: A Power Rangers Movie (1997),Action|Adventure|Children
1525,Warriors of Virtue (1997),Action|Adventure|Children|Fantasy
1538,"Second Jungle Book: Mowgli & Baloo, The (1997)",Adventure|Children
1547,Shiloh (1997),Children|Drama
1551,Buddy (1997),Adventure|Children|Drama
1566,Hercules (1997),Adventure|Animation|Children|Comedy|Musical
1582,Wild America (1997),Adventure|Children
1583,"Simple Wish, A (1997)",Children|Fantasy
1588,George of the Jungle (1997),Children|Comedy
1592,Air Bud (1997),Children|Comedy
1595,Free Willy 3: The Rescue (1997),Adventure|Children|Drama
1646,RocketMan (a.k.a. Rocket Man) (1997),Children|Comedy|Romance|Sci-Fi
1654,FairyTale: A True Story (1997),Children|Drama|Fantasy
1688,Anastasia (1997),Adventure|Animation|Children|Drama|Musical
1702,Flubber (1997),Children|Comedy|Fantasy
1707,Home Alone 3 (1997),Children|Comedy
1713,Mouse Hunt (1997),Children|Comedy
1739,3 Ninjas: High Noon On Mega Mountain (1998),Action|Children|Comedy
1750,Star Kid (1997),Adventure|Children|Fantasy|Sci-Fi
1806,Paulie (1998),Adventure|Children|Comedy
1812,Wide Awake (1998),Children|Comedy|Drama
1822,Meet the Deedles (1998),Children|Comedy
1826,Barney's Great Adventure (1998),Adventure|Children
1843,Slappy and the Stinkers (1998),Children|Comedy
1848,"Borrowers, The (1997)",Adventure|Children|Comedy|Fantasy
1881,Quest for Camelot (1998),Adventure|Animation|Children|Fantasy|Musical
1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
1919,Madeline (1998),Children|Comedy
1920,Small Soldiers (1998),Animation|Children|Fantasy|War
2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
2014,Freaky Friday (1977),Children|Comedy|Fantasy
2015,"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
2016,"Apple Dumpling Gang Rides Again, The (1979)",Children|Comedy|Western
2017,Babes in Toyland (1961),Children|Fantasy|Musical
2018,Bambi (1942),Animation|Children|Drama
2031,"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",Children|Comedy
2032,"Barefoot Executive, The (1971)",Children|Comedy
2033,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
2034,"Black Hole, The (1979)",Children|Sci-Fi
2035,Blackbeard's Ghost (1968),Children|Comedy
2036,Blank Check (1994),Children|Comedy
2037,Candleshoe (1977),Adventure|Children|Comedy
2038,"Cat from Outer Space, The (1978)",Children|Comedy|Sci-Fi
2039,Cheetah (1989),Adventure|Children
2040,"Computer Wore Tennis Shoes, The (1969)",Children|Comedy
2041,Condorman (1981),Action|Adventure|Children|Comedy
2042,D2: The Mighty Ducks (1994),Children|Comedy
2043,Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy
2045,"Far Off Place, A (1993)",Adventure|Children|Drama|Romance
2046,Flight of the Navigator (1986),Adventure|Children|Sci-Fi
2047,"Gnome-Mobile, The (1967)",Adventure|Children|Fantasy|Musical
2048,"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime
2050,Herbie Goes Bananas (1980),Adventure|Children|Comedy
2051,Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy
2052,Hocus Pocus (1993),Children|Comedy|Fantasy|Horror
2053,"Honey, I Blew Up the Kid (1992)",Children|Comedy|Sci-Fi
2054,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
2056,In Search of the Castaways (1962),Adventure|Children
2057,"Incredible Journey, The (1963)",Adventure|Children
2059,"Parent Trap, The (1998)",Children|Comedy|Romance
2077,"Journey of Natty Gann, The (1985)",Adventure|Children
2078,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
2079,Kidnapped (1960),Adventure|Children|Drama
2080,Lady and the Tramp (1955),Animation|Children|Comedy|Romance
2081,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance
2082,"Mighty Ducks, The (1992)",Children|Comedy
2083,"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical
2084,Newsies (1992),Children|Musical
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children
2087,Peter Pan (1953),Animation|Children|Fantasy|Musical
2089,"Rescuers Down Under, The (1990)",Adventure|Animation|Children
2090,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama
2091,Return from Witch Mountain (1978),Children|Sci-Fi
2093,Return to Oz (1985),Adventure|Children|Fantasy
2095,"Shaggy D.A., The (1976)",Children|Comedy
2096,Sleeping Beauty (1959),Animation|Children|Musical
2097,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
2098,Son of Flubber (1963),Children|Comedy
2099,Song of the South (1946),Adventure|Animation|Children|Musical
2102,Steamboat Willie (1928),Animation|Children|Comedy|Musical
2103,Tall Tale (1995),Adventure|Children|Fantasy|Western
2116,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
2124,"Addams Family, The (1991)",Children|Comedy|Fantasy
2135,Doctor Dolittle (1967),Adventure|Children|Musical
2137,Charlotte's Web (1973),Animation|Children
2138,Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy
2139,"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
2141,"American Tail, An (1986)",Adventure|Animation|Children|Comedy
2142,"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western
2152,Air Bud: Golden Receiver (1998),Children|Comedy
2161,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
2162,"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy
2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy
2354,"Rugrats Movie, The (1998)",Animation|Children|Comedy
2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
2384,Babe: Pig in the City (1998),Adventure|Children|Drama
2392,Jack Frost (1998),Children|Comedy|Drama
2399,Santa Claus: The Movie (1985),Adventure|Children|Fantasy
2400,Prancer (1989),Children|Drama|Fantasy
2414,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller
2422,"Karate Kid, Part III, The (1989)",Action|Adventure|Children|Drama
2430,Mighty Joe Young (1949),Adventure|Children|Drama
2449,"Garbage Pail Kids Movie, The (1987)",Adventure|Children|Comedy
2559,"King and I, The (1999)",Animation|Children
2566,Doug's 1st Movie (1999),Animation|Children
2687,Tarzan (1999),Adventure|Animation|Children|Drama
2709,Muppets From Space (1999),Children|Comedy
2720,Inspector Gadget (1999),Action|Adventure|Children|Comedy
2761,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi
2798,Problem Child (1990),Children|Comedy
2800,Little Nemo: Adventures in Slumberland (1992),Adventure|Animation|Children|Drama|Fantasy
2804,"Christmas Story, A (1983)",Children|Comedy
2828,Dudley Do-Right (1999),Children|Comedy
2831,A Dog of Flanders (1999),Children|Drama
2846,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",Adventure|Children|Comedy|Drama
2876,Thumbelina (1994),Animation|Children|Fantasy
2886,"Adventures of Elmo in Grouchland, The (1999)",Children|Comedy
2899,Gulliver's Travels (1939),Adventure|Animation|Children
2953,Home Alone 2: Lost in New York (1992),Children|Comedy
